id,name,count,scene,modality,steps,steps_CN,actors_num,seat,tags,items,items_untrack,capture_mode,hints,hints_CN,source,desc
20260311000058 ,Posture-lie,1,MWV,,"1. Lie flat on your back on the floor, letting the back of your head, shoulders, and hips press into the ground.

2. Lie face down on the floor with your legs long behind you and your forearms resting on the ground.

3. Lie on your side on the floor with your knees slightly bent, keeping one shoulder and one hip clearly supported by the ground.

4. Lie on your back and slowly roll onto your side and back again without getting up, repeatedly.

5. Lie on your stomach and gently shift your weight so your pelvis and chest alternately press more firmly into the floor, repeatedly.

6. Lie on your back with both knees bent and your feet planted on the floor, keeping your shoulders and hips supported by the ground.

7. Lie on your side and slide your top leg forward and back along the floor while staying down, repeatedly.

8. Lie on your back and make slow “snow-angel” sweeps with your arms along the floor while staying flat, repeatedly.

9. Lie face down and push your chest a little away from the floor using your forearms, then lower back down to the ground, repeatedly.

10. Lie on your back and slowly slide your heels away and back along the floor while keeping your upper body down, repeatedly.","1. 仰躺在地上，让后脑勺、肩膀和髋部都压实贴地。
参考画面：平躺

2. 俯卧在地上，双腿向后伸直，前臂放在地面支撑。
参考画面：趴着

3. 侧躺在地上，膝盖微屈，保持一侧肩和一侧髋清楚地贴地支撑。
参考画面：侧躺

4. 仰躺，慢慢翻到侧躺再翻回仰躺，全程不起来，重复执行。
参考画面：烙饼翻身

5. 俯卧，轻轻转移重心，让骨盆和胸部轮流更用力压向地面，重复执行。
参考画面：前后压地

6. 仰躺，双膝弯曲、双脚踩地，肩膀和髋部保持贴地支撑。
参考画面：仰卧屈膝

7. 侧躺不起来，上侧腿贴地向前滑、再向后滑，重复执行。
参考画面：腿前后滑

8. 仰躺贴平，双臂沿地面慢慢做“雪天使”式开合扫动，重复执行。
参考画面：雪天使

9. 俯卧，用前臂把胸口轻轻撑离地面一点，再放回贴地，重复执行。
参考画面：海豹撑起

10. 仰躺，上半身贴地不动，脚跟沿地面慢慢向外滑远、再滑回，重复执行。
参考画面：脚跟滑动",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000059 ,Posture-sit,1,MWV,,"1. Sit on the floor with your legs straight in front of you, keeping your weight clearly on your buttocks and your back upright.

2. Sit on the floor cross-legged with your hands resting on the ground beside you for support.

3. Sit on the floor with your knees bent and your feet flat, lightly rocking your torso forward and back while staying seated, repeatedly.

4. Sit on the floor with legs extended and scoot forward from center to A using your hands and hips while staying seated.

5. Sit on the floor and scoot backward from A to B while staying upright on your buttocks.

6. Sit on the floor and shuttle between A and B by scooting on your buttocks while keeping your torso mostly upright.

7. Sit on the floor and side-step-scoot along the edge from B to C while staying seated and using your hands for balance.

8. Sit on the floor with your knees hugged close to your chest, keeping your weight grounded through your buttocks.

9. Sit on the floor and place both hands behind you on the ground, then lift and lower your hips slightly while staying seated, repeatedly.

10. Sit on the floor and walk a figure-eight around center by scooting on your buttocks, using your hands on the ground to steer.","1. 坐在地上，双腿向前伸直，重心清楚落在臀部，背部保持直立。
参考画面：长坐

2. 盘腿坐地，双手放在身体两侧地面上支撑。
参考画面：盘腿坐

3. 坐在地上，双膝弯曲、双脚踩地，保持坐着，躯干轻轻前后摇，重复执行。
参考画面：坐着摇摆

4. 坐在地上，双腿伸直，用手和髋部发力，保持坐姿从中心往前挪到 A。
参考画面：臀部挪步

5. 坐在地上，臀部坐直不塌，从 A 往后挪到 B。
参考画面：倒挪屁股

6. 坐在地上，躯干基本直立，用臀部挪动在 A 和 B 之间来回穿梭。
参考画面：屁股走路

7. 坐在地上，沿边从 B 到 C 侧向挪步式前进，双手辅助保持平衡。
参考画面：侧挪屁股

8. 坐在地上，双膝抱到胸前，重心稳稳落在臀部贴地。
参考画面：抱膝坐

9. 坐在地上，双手撑在身后地面上，髋部轻轻抬起一点再放下，重复执行。
参考画面：小桥式

10. 坐在地上，用臀部挪动绕中心走“8”字，双手在地上辅助转向。
参考画面：屁股画8",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000060 ,Posture-sprawl,1,MWV,,"1. Sprawl on your back on the floor with your arms and legs spread wide in an awkward, loose position.

2. Sprawl face down on the floor with your elbows out and one knee bent out to the side, taking up extra space.

3. Sprawl on your side with your top arm and top leg flung forward so your limbs look messy and spread out.

4. Sprawl on your back and lazily slide your arms and legs farther out and back in along the floor, repeatedly.

5. Sprawl seated on the floor with your legs stretched out and apart and your hands braced on the ground behind you, looking slack and ungainly.

6. Sprawl on your back with one leg bent and dropped outward and the other leg long, shifting which hip presses the floor more, repeatedly.

7. Sprawl face down and drag your forearms outward and inward on the floor while your legs stay splayed, repeatedly.

8. Sprawl on your back and roll loosely from side to side without gathering your limbs in, repeatedly.

9. Sprawl seated with your knees bent and dropped open, feet far apart, and your hands on the floor to either side.

10. Sprawl on your back and slowly slide your heels in wide arcs along the floor, keeping your legs spread out, repeatedly.","1. 仰躺摊在地上，手脚大幅张开，姿势松散别扭。
参考画面：大字摊

2. 俯卧摊在地上，手肘向外张开，一侧膝盖向外侧弯开，身体占开更大面积。
参考画面：趴着摊开

3. 侧躺摊开，上侧手臂和上侧腿甩向前方，让四肢看起来凌乱地伸展开。
参考画面：侧躺摊开

4. 仰躺摊开，懒散地让手脚沿地面再滑得更开、再滑回一些，重复执行。
参考画面：摊开伸缩

5. 坐着摊在地上，双腿伸直分开，双手在身后撑地，身体松垮笨拙。
参考画面：坐着摊开

6. 仰躺摊开，一条腿弯曲向外倒，另一条腿伸直，左右交替让哪侧髋部更用力压地，重复执行。
参考画面：左右压髋

7. 俯卧摊开，双腿保持外展，前臂在地面上向外拖开、再向内拖回，重复执行。
参考画面：前臂拖地

8. 仰躺摊开，不把四肢收拢，身体松散地左右翻滚，重复执行。
参考画面：摊着翻滚

9. 坐着摊开，双膝弯曲向外打开，双脚分得很开，双手放在身体两侧地面上。
参考画面：青蛙坐

10. 仰躺摊开，双腿保持外展，脚跟沿地面画大弧线慢慢滑动，重复执行。
参考画面：脚跟画弧",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000061 ,Posture-kneel,1,MWV,,"1. Kneel on both knees on the floor with your torso upright, keeping your shins and knees as the clear support points.

2. Kneel on one knee with the other foot planted in front, keeping most of your weight resting through the kneeling knee.

3. Kneel on both knees and lean forward to place both hands on the floor, then return to upright kneeling, repeatedly.

4. Kneel on both knees and shift your hips so more weight moves onto one knee and then the other, repeatedly.

5. Kneel with your toes tucked under and gently rock forward and back so your shins and toes alternately press the floor more, repeatedly.

6. Kneel low on both knees and “walk” your knees forward and back a little while staying on your knees, repeatedly.

7. Kneel on both knees and sit your hips back toward your heels, then come back to tall kneeling, repeatedly.

8. Kneel on one knee and slide the planted foot a little forward and back on the floor while keeping the kneeling knee down, repeatedly.

9. Kneel and reach one hand to touch the floor just ahead of you, then switch to the other hand, repeatedly.

10. Kneel on both knees with your hands resting on your thighs, keeping your knees and shins firmly grounded.","1. 双膝跪地，躯干直立，清楚用小腿和膝盖作为支撑点。
参考画面：双膝跪

2. 单膝跪地，另一只脚在前方踩稳，重心主要压在跪地那侧膝盖上。
参考画面：单膝跪

3. 双膝跪地，身体前倾把双手放到地上，再回到直立跪姿，重复执行。
参考画面：跪着点地

4. 双膝跪地，左右移动髋部，让重心更多压到一侧膝盖再换到另一侧，重复执行。
参考画面：左右压膝

5. 跪姿把脚趾勾住地面，轻轻前后摇，让小腿和脚趾轮流更用力压地，重复执行。
参考画面：跪着前后摇

6. 双膝低跪，保持跪着，用膝盖小幅向前“走”一点再向后“走”一点，重复执行。
参考画面：膝盖走路

7. 双膝跪地，髋部坐回靠近脚跟，再回到高跪直立，重复执行。
参考画面：跪坐起身

8. 单膝跪地，跪地那侧膝盖不离地，前脚在地面上小幅向前滑、再向后滑，重复执行。
参考画面：前脚滑动

9. 跪姿，伸一只手去触碰身体前方一点的地面，再换另一只手，重复执行。
参考画面：左右点地

10. 双膝跪地，双手放在大腿上，膝盖和小腿稳稳贴地。
参考画面：跪坐",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000062 ,Posture-huddle,1,MWV,,"1. Huddle on the floor by curling into a tight ball with your knees drawn close and your arms wrapped around your legs.

2. Huddle seated on the floor with your feet close to you and your torso folded down toward your thighs, keeping your body compact.

3. Huddle on your side with your knees tucked up and your arms pulled in tight, taking up as little space as possible.

4. Huddle low on the floor and gently rock your compact curled shape forward and back without opening up, repeatedly.

5. Huddle on the floor and make small side-to-side rolls while staying tightly curled, repeatedly.

6. Huddle in a deep squat with your heels down and your arms pulled close to your body, keeping your shape small.

7. Huddle on the floor with your knees tucked close and both hands on the ground near your feet for support, staying compact.

8. Huddle seated and scoot a short distance from center to A without uncurling much, keeping your body tightly tucked.

9. Huddle and shuttle between A and B by scooting while curled up, keeping your knees tucked close the whole way.

10. Huddle on the floor and alternately press your forearms into the ground and relax them while staying curled tight, repeatedly.","1. 在地上蜷成紧紧一团，膝盖收近，双臂环抱住双腿。
参考画面：抱团

2. 坐在地上，双脚收近身体，躯干向大腿方向折叠下去，让身体尽量紧凑。
参考画面：坐着抱团

3. 侧躺蜷缩，膝盖收起，双臂紧紧收在身前，尽量占最小空间。
参考画面：侧抱团

4. 低位蜷缩在地上，不打开身体，保持紧凑形状轻轻前后摇，重复执行。
参考画面：抱团摇摆

5. 在地上紧紧蜷着，做小幅左右滚动，重复执行。
参考画面：抱团滚动

6. 深蹲蜷缩，脚跟落地，双臂贴近身体，保持身体很小一团。
参考画面：深蹲抱团

7. 在地上蜷缩，膝盖收很近，双手放在脚边地面上支撑，保持紧凑。
参考画面：抱团撑地

8. 坐着蜷缩，身体尽量不展开，从中心短距离挪到 A，保持紧紧收拢。
参考画面：抱团挪动

9. 蜷缩着用挪动在 A 和 B 之间来回穿梭，全程膝盖都收得很近。
参考画面：抱团穿梭

10. 在地上紧紧蜷着，前臂交替用力压地再放松，重复执行。
参考画面：前臂压地",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000063 ,Posture-crouch,1,MWV,,"1. Sink into a deep crouch with your knees bent and your upper body leaning forward, keeping both hands on the floor for support.

2. Hold a low crouch and shift your weight slowly between your feet while one hand stays pressed to the floor, repeatedly.

3. Crouch very low and let your forearms rest on your thighs while your hands occasionally tap the floor for balance, repeatedly.

4. Drop into a crouch and keep one knee lightly touching the floor as you lean your torso forward and back, repeatedly.

5. Hold a crouch with your heels lifted and both palms flat on the floor in front of you, like a ready stance.

6. Crouch low and slowly “crawl” your hands forward and back on the floor while your feet stay planted, repeatedly.

7. Crouch and take small steps forward from center to A, keeping one hand skimming close to the floor as you move.

8. Crouch low and walk backward from B to center, keeping your upper body pitched forward and one hand ready to touch the floor.

9. Crouch and side-step along the edge from C to D, keeping your torso forward and brushing the floor with your hand now and then, repeatedly.

10. Stay in a crouch and shuttle between A and B with short steps, keeping both hands low and briefly touching the floor at each turn, repeatedly.","1. 下沉到深蹲，膝盖弯曲，上身前倾，双手撑地支撑。
参考画面：四点蹲

2. 保持低蹲，慢慢在两脚之间转移重心，一只手始终按在地上，重复执行。
参考画面：蹲着换重心

3. 蹲得很低，前臂搭在大腿上，双手偶尔点一下地面找平衡，重复执行。
参考画面：蹲着点地

4. 蹲下后让一侧膝盖轻轻点地，躯干前后倾动，重复执行。
参考画面：蹲着前后晃

5. 保持蹲姿，脚跟抬起，双掌平放在身前地面上，像准备起跑的架势。
参考画面：起跑姿势

6. 低蹲，双脚踩稳不动，双手在地面上慢慢向前“爬”一点再向后“爬”一点，重复执行。
参考画面：手爬前后

7. 蹲着从中心小步往前走到 A，移动时一只手贴近地面掠过。
参考画面：蹲走

8. 低蹲，身体前倾，从 B 倒着走回中心，一只手随时准备触地。
参考画面：蹲着倒走

9. 低蹲沿边从 C 侧移到 D，躯干前倾，手不时刷一下地面，重复执行。
参考画面：蹲着侧移

10. 保持蹲姿，用短步在 A 和 B 之间来回穿梭，每次转向时双手放低并短暂触地，重复执行。
参考画面：蹲着穿梭",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000064 ,Posture-cower,1,MWV,,"1. Curl into a tight, protective cower close to the floor, wrapping your arms around your belly and chest and keeping your head down.

2. Drop into a low cower with your knees drawn in and your forearms pressed to the floor in front of you, shielding your torso.

3. Hold a compact cower on the ground with one forearm over the top of your head and the other arm hugging your ribs.

4. Cower low with your knees tucked under you, then tighten into a smaller ball and loosen slightly without rising, repeatedly.

5. Cower with your back rounded and your elbows drawn in, rocking gently so your hands and forearms alternately press into the floor, repeatedly.

6. Sit low on your feet in a cower and fold forward until your hands and forearms rest on the floor, keeping your torso shielded.

7. Cower while walking a figure-eight around center with very small steps, keeping your arms tight across your torso and your body low.

8. Stay in a hunched cower and side-step from A to B, keeping one arm across your chest and the other hand close to the floor for support.

9. Cower low and shuttle between C and D, curling your torso inward and briefly placing a hand on the floor at each change of direction, repeatedly.

10. Cower while walking backward from D to center, keeping your knees bent, your shoulders rounded, and your arms shielding your belly and chest.","1. 贴近地面蜷成紧张的防护缩身，双臂抱住腹部和胸口，头低下。
参考画面：护身缩成团

2. 缩到很低，膝盖收进来，前臂压在身前地面上，护住躯干。
参考画面：趴护缩身

3. 在地上保持紧凑缩身，一侧前臂盖在头顶上方，另一只手臂抱住肋部。
参考画面：抱头缩身

4. 低位缩身，膝盖收在身下，然后再缩成更小一团、再稍微放松一点但不站起，重复执行。
参考画面：缩紧放松

5. 缩身背部拱起、手肘收紧，轻轻摇动，让双手和前臂轮流更用力压地，重复执行。
参考画面：缩身摇摆

6. 缩身坐在脚跟上，向前折叠直到双手和前臂放到地上，躯干保持护住。
参考画面：跪趴护身

7. 保持低位缩身，用很小的步子绕中心走“8”字，双臂紧贴横抱在躯干前，身体保持低。
参考画面：缩身走8

8. 保持弓背缩身，从 A 侧移到 B，一只手臂横在胸前，另一只手贴近地面用于支撑。
参考画面：缩身侧移

9. 低位缩身，在 C 和 D 之间来回穿梭，躯干向内卷，每次换方向时短暂把一只手放到地上，重复执行。
参考画面：缩身穿梭

10. 缩身状态下从 D 倒着走回中心，膝盖弯曲、肩膀圆起，双臂护住腹部和胸口。
参考画面：缩身倒走",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000065 ,Body_movement-wriggle,1,MWV,,"1. Lie on your back and wriggle your hips and shoulders side to side so your body squirms against the floor, repeatedly.

2. Lie on your stomach and wriggle forward with quick, worm-like body twists while staying low to the floor, repeatedly.

3. Sit on the floor and wriggle your torso with fast twists so your shoulders and hips shift in opposite directions, repeatedly.

4. Kneel and wriggle your upper body with quick, writhing twists while your knees stay planted on the ground, repeatedly.

5. On hands and knees, wriggle your body by rapidly twisting your torso and hips in small alternating directions, repeatedly.

6. With both feet on the floor, wriggle one foot by making quick side-to-side twists at the ankle while the sole stays in contact, repeatedly.

7. In a low squat, wriggle your hips with quick, tight side-to-side movements while your feet stay grounded, repeatedly.

8. Shuttle between A and B in a low crouch while wriggling your torso in quick twists, repeatedly.

9. Side-step along the edge from A to B while wriggling your hips with fast, writhing motions, repeatedly.

10. Walk a figure-eight around center while wriggling your shoulders and torso in quick alternating twists, repeatedly.","1. 仰卧，髋和肩左右扭动，让身体在地面上像蠕动一样左右摆，重复执行。
参考画面：地上扭动

2. 俯卧，贴近地面，用快速的“虫式”身体扭转向前蠕动，重复执行。
参考画面：蠕动前进

3. 坐地，躯干快速扭动，让肩和髋朝相反方向错动，重复执行。
参考画面：扭腰摆胯

4. 跪姿，膝盖固定在地，上半身快速扭动蠕动，重复执行。
参考画面：上身扭动

5. 四点跪姿（手和膝着地），躯干和髋部快速做小幅交替扭动，让身体蠕动，重复执行。
参考画面：蠕动

6. 双脚踩地不抬起，单脚脚底保持贴地，脚踝快速左右拧动让脚“扭动”，重复执行。
参考画面：脚底拧动

7. 低位深蹲，双脚踩稳不动，髋部快速小幅左右抖动蠕动，重复执行。
参考画面：扭胯

8. 低位蹲伏，在 A 和 B 之间来回穿梭，同时躯干快速扭动蠕动，重复执行。
参考画面：扭身

9. 沿边从 A 侧步到 B，同时髋部快速扭动蠕动，重复执行。
参考画面：扭胯

10. 绕中心走“8”字，同时肩和躯干快速做交替扭转，重复执行。
参考画面：扭身",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000066 ,Self_motion-crawl,1,MWV,,"1. Belly-crawl forward by pulling with your forearms and pushing with your knees, keeping your hips low, repeatedly.

2. Crawl forward on hands and knees, letting your chest dip close to the floor every few steps, repeatedly.

3. Crawl forward while sliding one knee along the floor instead of lifting it cleanly each step, repeatedly.

4. Crawl forward and make a wide turn so you keep changing direction while staying low to the ground, repeatedly.

5. Crawl forward on hands and knees and pivot on your knees at each turn to face a new direction, repeatedly.

6. Shuttle between A and B by crawling forward on hands and knees and turning around at each end, repeatedly.

7. Crawl a figure-eight around center on hands and knees, keeping your torso close to the floor, repeatedly.

8. Shuttle between B and C by belly-crawling with your forearms pulling and your knees pushing, repeatedly.

9. Crawl a figure-eight around center while keeping your knees wide and your hips low, repeatedly.

10. Crawl forward on hands and knees while dragging your feet and knees lightly along the floor instead of stepping high, repeatedly.","1. 匍匐前进，用前臂往前拉、膝盖往后蹬，胯部压低贴地，重复执行。
参考画面：匍匐前进

2. 四肢着地往前爬，每隔几步让胸口下沉贴近地面，重复执行。
参考画面：婴儿爬

3. 往前爬时一侧膝盖每步都贴地滑行，不要抬起再落下，重复执行。
参考画面：拖膝爬

4. 低位往前爬，同时做大幅度转弯，方向不断变化但始终贴近地面，重复执行。
参考画面：无

5. 四肢着地往前爬，每次转向都用膝盖做轴心原地转身，转到新的方向再继续，重复执行。
参考画面：跪地转向

6. 四肢着地从 A 爬到 B，到端点就转身往回爬，A、B 间来回折返，重复执行。
参考画面：爬行折返

7. 四肢着地绕中心爬“8”字，躯干尽量贴近地面，重复执行。
参考画面：8字爬

8. 从 B 到 C 做匍匐折返：用前臂往前拉、膝盖往后蹬贴地前进，重复执行。
参考画面：匍匐折返

9. 绕中心爬“8”字，膝盖打开、胯部压低，重复执行。
参考画面：8字爬

10. 四肢着地往前爬，脚和膝盖轻轻拖地滑行，不要抬高迈步，重复执行。
参考画面：拖地爬",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000067 ,Self_motion-slither,10,MWV,,"1. Slither forward on your belly with your legs together, making a smooth side-to-side wave through your torso, repeatedly.

2. Slither across the floor by pushing from your hips and shoulders in an alternating twist, keeping your chest close to the ground, repeatedly.

3. Slither while rolled partly onto one side, using a gentle full-body wiggle to glide along the floor, repeatedly.

4. Slither forward with small, quick body ripples, like a snake on the floor, repeatedly.

5. Slither forward and then slither back by reversing the same twisting wave through your body, repeatedly.

6. Shuttle between A and D by slithering low on the floor with a smooth torso wave and turning around at each end, repeatedly.

7. Slither a figure-eight around center, letting your shoulders and hips oscillate to steer the turns, repeatedly.

8. Shuttle between B and C by slithering on your belly and using your forearms lightly for steering without lifting your torso, repeatedly.

9. Slither forward with a long, smooth twist through your waist, then unwind as you continue gliding, repeatedly.

10. Slither in a broad circle on the floor, keeping your body low and moving with a continuous side-to-side sway, repeatedly.","1. 趴着往前“蛇行”，双腿并拢，躯干做顺滑的左右波浪摆动，重复执行。
参考画面：蛇行

2. 贴地蛇行前进，肩和胯交替扭转发力推进，胸口始终贴近地面，重复执行。
参考画面：蛇行

3. 身体略侧翻在一边贴地蛇行，用轻柔的全身扭动带动滑行，重复执行。
参考画面：侧身蛇行

4. 贴地蛇行前进，身体做小而快的波纹式起伏，重复执行。
参考画面：蛇行

5. 先贴地蛇行向前，再用同样的扭转波浪反向蛇行回来，重复执行。
参考画面：蛇行折返

6. 从 A 到 D 贴地蛇行折返：躯干做顺滑波浪推进，到端点就转身往回，重复执行。
参考画面：蛇行折返

7. 绕中心贴地蛇行“8”字，用肩和胯的来回摆动来带转向，重复执行。
参考画面：8字蛇行

8. 从 B 到 C 贴地蛇行折返，前臂轻轻点地用来控方向，但躯干不要抬起，重复执行。
参考画面：蛇行折返

9. 贴地蛇行前进，腰部做长而顺的扭转带动前进，然后边滑行边把扭转慢慢解开，重复执行。
参考画面：扭腰蛇行

10. 贴地蛇行画大圆，身体压低，持续做左右摆动前进，重复执行。
参考画面：画圆蛇行",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
20260311000068 ,Self_motion-wriggle,1,MWV,,"1. Wriggle forward on your belly using short, choppy hip and shoulder wiggles to inch along the floor, repeatedly.

2. Wriggle forward with your knees bent and feet off the floor, pushing yourself along mainly by twisting your torso, repeatedly.

3. Wriggle on your back and scoot by rocking your hips side to side to slide across the floor, repeatedly.

4. Wriggle forward and make frequent small direction changes by snapping your hips to one side and then the other, repeatedly.

5. Wriggle forward while keeping your chest low and using uneven, squirmy pushes from your knees, repeatedly.

6. Shuttle between A and B by wriggling low along the floor and turning around at each end, repeatedly.

7. Wriggle a figure-eight around center, using quick hip wiggles to steer each loop, repeatedly.

8. Shuttle between C and D by wriggling forward with a tight, restless body squirm and staying close to the floor, repeatedly.

9. Wriggle forward while your shoulders alternately press into the floor, creating a side-to-side crawl, repeatedly.

10. Wriggle in place by scooting your hips in small side-to-side jerks while your upper body counters the motion, repeatedly.","1. 趴着往前蠕动，用短促、断续的肩和胯扭动一点点往前挪，重复执行。
参考画面：蠕动前进

2. 膝盖弯曲、双脚离地往前蠕动，主要靠躯干扭转把身体推着走，重复执行。
参考画面：扭身蠕动

3. 仰躺蠕动前进，胯部左右摇摆带动身体在地面上滑过去，重复执行。
参考画面：仰躺蠕动

4. 往前蠕动并频繁小幅变向，胯部快速甩向一侧再甩向另一侧来带方向，重复执行。
参考画面：甩胯蠕动

5. 胸口压低往前蠕动，用膝盖不均匀、扭扭挤挤地发力推进，重复执行。
参考画面：贴地蠕动

6. 从 A 到 B 贴地蠕动折返，到端点就转身往回，重复执行。
参考画面：蠕动折返

7. 绕中心蠕动“8”字，用快速摆胯来控制每个圈的转向，重复执行。
参考画面：8字蠕动

8. 从 C 到 D 贴地蠕动折返，身体紧凑不停扭动，始终贴近地面，重复执行。
参考画面：贴地蠕动

9. 往前蠕动时让左右肩轮流压地，带出左右摆的爬行轨迹，重复执行。
参考画面：压肩蠕动

10. 原地蠕动，胯部小幅左右抖动挪动，上半身做反向对抗保持平衡，重复执行。
参考画面：原地摆胯",,,,,,Optical_Capture,Each task must be performed for a full minute.|Please assume the T-pose when starting and finishing each task.,每条任务需要执行满一分钟。|每条任务开始和结束时请摆 T pose。,NR,
